"id","regNo","name","gender","year","department","cgpa","sessionId","pref1BlockNum","pref1RoomTypeCode","pref2BlockNum","pref2RoomTypeCode","password","source"
"20006","240901001","Pranav Verma","MALE","2","CSE","8.1","6","23","QAC","23","QAC",,"CSV"
"20007","240912002","Arjun Chatterjee","MALE","2","AI","7.33","6","23","QAC","23","QAC",,"CSV"
"20008","240907003","Aman Sharma","MALE","2","CE","8.28","6","23","QAC","23","QAC",,"CSV"
"20009","240904004","Raghav Pillai","MALE","2","EE","9.33","6","23","QAC","23","QAC",,"CSV"
"20010","240904005","Tarun Menon","MALE","2","EE","7.22","6","23","QAC","23","QAC",,"CSV"
"20011","240910006","Pranav Sharma","MALE","2","CHE","7.22","6","23","QAC","23","QAC",,"CSV"
"20012","230903007","Manish Agarwal","MALE","3","ME","9.4","6","23","QAC","23","QAC",,"CSV"
"20013","240904008","Varun Iyer","MALE","2","EE","8.42","6","23","QAC","23","QAC",,"CSV"
"20014","240902009","Rajat Kapoor","MALE","2","ECE","6.94","6","23","QAC","23","QAC",,"CSV"
"20015","240913010","Aman Kulkarni","MALE","2","IS","8.15","6","23","QAC","23","QAC",,"CSV"
"20016","240915011","Siddharth Nair","MALE","2","PE","6.94","6","23","QAC","23","QAC",,"CSV"
"20017","240914012","Harsh Kapoor","MALE","2","MT","6.94","6","23","QAC","23","QAC",,"CSV"
"20018","240912013","Vikram Gupta","MALE","2","AI","7.79","6","23","QAC","23","QAC",,"CSV"
"20019","240913014","Sid Nair","MALE","2","IS","5.2","6","23","QAC","23","QAC",,"CSV"
"20020","230914015","Arjun Joshi","MALE","3","MT","5.43","6","23","QAC","23","QAC",,"CSV"
"20021","240911016","Rajat Singh","MALE","2","DS","6.83","6","23","QAC","23","QAC",,"CSV"
"20022","240904017","Pranav Nair","MALE","2","EE","6.28","6","23","QAC","23","QAC",,"CSV"
"20023","240903018","Tarun Verma","MALE","2","ME","7.88","6","23","QAC","23","QAC",,"CSV"
"20024","240907019","Pranav Chatterjee","MALE","2","CE","6.41","6","23","QAC","23","QAC",,"CSV"
"20025","240906020","Aman Verma","MALE","2","CCE","5.81","6","23","QAC","23","QAC",,"CSV"
"20026","230913021","Varun Joshi","MALE","3","IS","9.26","6","23","QAC","23","QAC",,"CSV"
"20027","240904022","Kunal Agarwal","MALE","2","EE","7.23","6","23","QAC","23","QAC",,"CSV"
"20028","240908023","Siddharth Kulkarni","MALE","2","BT","7.58","6","23","QAC","23","QAC",,"CSV"
"20029","240903024","Nikhil Chatterjee","MALE","2","ME","5.79","6","23","QAC","23","QAC",,"CSV"
"20030","240912025","Kunal Menon","MALE","2","AI","6.85","6","23","QAC","23","QAC",,"CSV"
"20031","230907026","Rajat Verma","MALE","3","CE","7.63","6","23","QAC","23","QAC",,"CSV"
"20032","230903027","Raghav Shetty","MALE","3","ME","6.12","6","23","QAC","23","QAC",,"CSV"
"20033","240901028","Arjun Reddy","MALE","2","CSE","7.95","6","23","QAC","23","QAC",,"CSV"
"20034","240913029","Manish Pillai","MALE","2","IS","6.78","6","23","QAC","23","QAC",,"CSV"
"20035","240907030","Harsh Kulkarni","MALE","2","CE","7.15","6","23","QAC","23","QAC",,"CSV"
"20036","240909031","Rahul Iyer","MALE","2","AE","6.78","6","23","QAC","23","QAC",,"CSV"
"20037","240909032","Pranav Agarwal","MALE","2","AE","9.72","6","23","QAC","23","QAC",,"CSV"
"20038","240907033","Karan Kulkarni","MALE","2","CE","7.48","6","23","QAC","23","QAC",,"CSV"
"20039","240912034","Pranav Bansal","MALE","2","AI","6.23","6","23","QAC","23","QAC",,"CSV"
"20040","230909035","Arjun Mehta","MALE","3","AE","8.49","6","23","QAC","23","QAC",,"CSV"
"20041","230909036","Harsh Patel","MALE","3","AE","6.03","6","23","QAC","23","QAC",,"CSV"
"20042","240913037","Karan Chatterjee","MALE","2","IS","7.75","6","23","QAC","23","QAC",,"CSV"
"20043","230915038","Raghav Sharma","MALE","3","PE","5.15","6","23","QAC","23","QAC",,"CSV"
