reg_no,name,gender,year,department,cgpa,roommate_1,roommate_2,pref1_block,pref1_room_type,pref2_block,pref2_room_type
240901001,Pranav Verma,M,2,CSE,8.1,240912002,240907003,23,QAC,23,QAC
240912002,Arjun Chatterjee,M,2,AI,7.33,240907003,240901001,23,QAC,23,QAC
240907003,Aman Sharma,M,2,CE,8.28,240901001,240912002,23,QAC,23,QAC
240904004,Raghav Pillai,M,2,EE,9.33,240904005,240910006,23,QAC,23,QAC
240904005,Tarun Menon,M,2,EE,7.22,240910006,240904004,23,QAC,23,QAC
240910006,Pranav Sharma,M,2,CHE,7.22,240904004,240904005,23,QAC,23,QAC
230903007,Manish Agarwal,M,3,ME,9.4,240904008,240902009,23,QAC,23,QAC
240904008,Varun Iyer,M,2,EE,8.42,240902009,230903007,23,QAC,23,QAC
240902009,Rajat Kapoor,M,2,ECE,6.94,230903007,240904008,23,QAC,23,QAC
240913010,Aman Kulkarni,M,2,IS,8.15,240915011,240914012,23,QAC,23,QAC
240915011,Siddharth Nair,M,2,PE,6.94,240914012,240913010,23,QAC,23,QAC
240914012,Harsh Kapoor,M,2,MT,6.94,240913010,240915011,23,QAC,23,QAC
240912013,Vikram Gupta,M,2,AI,7.79,240913014,230914015,23,QAC,23,QAC
240913014,Sid Nair,M,2,IS,5.2,230914015,240912013,23,QAC,23,QAC
230914015,Arjun Joshi,M,3,MT,5.43,240912013,240913014,23,QAC,23,QAC
240911016,Rajat Singh,M,2,DS,6.83,240904017,240903018,23,QAC,23,QAC
240904017,Pranav Nair,M,2,EE,6.28,240903018,240911016,23,QAC,23,QAC
240903018,Tarun Verma,M,2,ME,7.88,240911016,240904017,23,QAC,23,QAC
240907019,Pranav Chatterjee,M,2,CE,6.41,240906020,230913021,23,QAC,23,QAC
240906020,Aman Verma,M,2,CCE,5.81,230913021,240907019,23,QAC,23,QAC
230913021,Varun Joshi,M,3,IS,9.26,240907019,240906020,23,QAC,23,QAC
240904022,Kunal Agarwal,M,2,EE,7.23,240908023,240903024,23,QAC,23,QAC
240908023,Siddharth Kulkarni,M,2,BT,7.58,240903024,240904022,23,QAC,23,QAC
240903024,Nikhil Chatterjee,M,2,ME,5.79,240904022,240908023,23,QAC,23,QAC
240912025,Kunal Menon,M,2,AI,6.85,230907026,230903027,23,QAC,23,QAC
230907026,Rajat Verma,M,3,CE,7.63,230903027,240912025,23,QAC,23,QAC
